ลำดับ,จังหวัดภูมิลำเนา,จังหวัดสถานที่ติดต่อได้,จังหวัดสถานที่ทำงาน,สถานะใบอนุญาต
39501,สงขลา,สงขลา,นครศรีธรรมราช,ปกติ
39502,มุกดาหาร,มุกดาหาร,,ปกติ
39503,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39504,สมุทรปราการ,สมุทรปราการ,สมุทรปราการ,ปกติ
39505,พัทลุง,พัทลุง,พัทลุง,ปกติ
39506,ลำปาง,เพชรบูรณ์,เพชรบูรณ์,ปกติ
39507,ชลบุรี,ชลบุรี,ฉะเชิงเทรา,ปกติ
39508,ลำปาง,ลำปาง,ลำปาง,ปกติ
39509,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39510,นนทบุรี,นนทบุรี,กรุงเทพมหานคร,ปกติ
39511,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
39512,สงขลา,สงขลา,สตูล,ปกติ
39513,แพร่,กำแพงเพชร,กำแพงเพชร,ปกติ
39514,ศรีสะเกษ,ศรีสะเกษ,ศรีสะเกษ,ปกติ
39515,ขอนแก่น,ขอนแก่น,ขอนแก่น,ปกติ
39516,เชียงใหม่,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39517,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39518,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กรุงเทพมหานคร,ปกติ
39519,สุราษฎร์ธานี,สุราษฎร์ธานี,สุราษฎร์ธานี,ปกติ
39520,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39521,ลำปาง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,ปกติ
39522,เพชรบูรณ์,นครสวรรค์,เพชรบูรณ์,ปกติ
39523,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39524,ระยอง,ระยอง,ระยอง,ปกติ
39525,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39526,ลำพูน,กรุงเทพมหานคร,สมุทรปราการ,ปกติ
39527,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39528,ปทุมธานี,นครปฐม,สมุทรสาคร,ปกติ
39529,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39530,พระนครศรีอยุธยา,พระนครศรีอยุธยา,นนทบุรี,ปกติ
39531,ราชบุรี,ราชบุรี,ราชบุรี,ปกติ
39532,สระบุรี,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39533,กระบี่,กระบี่,กระบี่,ปกติ
39534,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39535,ขอนแก่น,ขอนแก่น,นครพนม,ปกติ
39536,สระบุรี,สระบุรี,สระบุรี,ปกติ
39537,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39538,ตรัง,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39539,พะเยา,พะเยา,กรุงเทพมหานคร,ปกติ
39540,กระบี่,กระบี่,ภูเก็ต,ปกติ
39541,บุรีรัมย์,บุรีรัมย์,กรุงเทพมหานคร,ปกติ
39542,สงขลา,กรุงเทพมหานคร,สมุทรปราการ,ปกติ
39543,กรุงเทพมหานคร,กรุงเทพมหานคร,ปทุมธานี,ปกติ
39544,ปทุมธานี,ปทุมธานี,กรุงเทพมหานคร,ปกติ
39545,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39546,สุโขทัย,สระบุรี,สระบุรี,ปกติ
39547,พระนครศรีอยุธยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,ปกติ
39548,ปทุมธานี,ปทุมธานี,พระนครศรีอยุธยา,ปกติ
39549,ภูเก็ต,พังงา,พังงา,ปกติ
39550,พะเยา,พะเยา,พะเยา,ปกติ
39551,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39552,นครศรีธรรมราช,นครศรีธรรมราช,นครศรีธรรมราช,ปกติ
39553,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39554,เพชรบูรณ์,เพชรบูรณ์,เพชรบูรณ์,ปกติ
39555,ลำพูน,ลำพูน,ลำพูน,ปกติ
39556,เชียงใหม่,ปราจีนบุรี,ปราจีนบุรี,ปกติ
39557,นครศรีธรรมราช,นครศรีธรรมราช,นครศรีธรรมราช,ปกติ
39558,นครปฐม,นครปฐม,กรุงเทพมหานคร,ปกติ
39559,นครปฐม,นครปฐม,นครปฐม,ปกติ
39560,ชลบุรี,ชลบุรี,,ปกติ
39561,เชียงราย,เชียงราย,เชียงราย,ปกติ
39562,กาญจนบุรี,กาญจนบุรี,พระนครศรีอยุธยา,ปกติ
